split,category,label,count
train,dysarthria_type,total,21711
train,dysarthria_type,None,9945
train,dysarthria_type,cerebellar,759
train,dysarthria_type,extrapyramidal,724
train,dysarthria_type,paretic,9990
train,dysarthria_type,pyramidal,293
train,severity_measure,total,21711
train,severity_measure,0,9945
train,severity_measure,1,6567
train,severity_measure,3,3247
train,severity_measure,4,1452
train,severity_measure,5,500
dev,dysarthria_type,total,7795
dev,dysarthria_type,None,3997
dev,dysarthria_type,cerebellar,1347
dev,dysarthria_type,paretic,2451
dev,severity_measure,total,7795
dev,severity_measure,0,3997
dev,severity_measure,1,2244
dev,severity_measure,2,621
dev,severity_measure,3,207
dev,severity_measure,4,726
test,dysarthria_type,total,9541
test,dysarthria_type,None,4989
test,dysarthria_type,cerebellar,759
test,dysarthria_type,paretic,3793
test,severity_measure,total,9541
test,severity_measure,0,4989
test,severity_measure,1,3036
test,severity_measure,3,757
test,severity_measure,5,759
all,dysarthria_type,total,39047
all,dysarthria_type,None,18931
all,dysarthria_type,cerebellar,2865
all,dysarthria_type,extrapyramidal,724
all,dysarthria_type,paretic,16234
all,dysarthria_type,pyramidal,293
all,severity_measure,total,39047
all,severity_measure,0,18931
all,severity_measure,1,11847
all,severity_measure,2,621
all,severity_measure,3,4211
all,severity_measure,4,2178
all,severity_measure,5,1259
