split,total_records,field,label,count,percentage
train,9988,emotion,neutral,4709,0.471466
train,9988,emotion,joy,1743,0.174509
train,9988,emotion,surprise,1205,0.120645
train,9988,emotion,anger,1109,0.111033
train,9988,emotion,sadness,683,0.068382
train,9988,emotion,disgust,271,0.027133
train,9988,emotion,fear,268,0.026832
train,9988,sentiment,neutral,4709,0.471466
train,9988,sentiment,negative,2945,0.294854
train,9988,sentiment,positive,2334,0.233680
dev,1108,emotion,neutral,469,0.423285
dev,1108,emotion,joy,163,0.147112
dev,1108,emotion,anger,153,0.138087
dev,1108,emotion,surprise,150,0.135379
dev,1108,emotion,sadness,111,0.100181
dev,1108,emotion,fear,40,0.036101
dev,1108,emotion,disgust,22,0.019856
dev,1108,sentiment,neutral,469,0.423285
dev,1108,sentiment,negative,406,0.366426
dev,1108,sentiment,positive,233,0.210289
test,2610,emotion,neutral,1256,0.481226
test,2610,emotion,joy,402,0.154023
test,2610,emotion,anger,345,0.132184
test,2610,emotion,surprise,281,0.107663
test,2610,emotion,sadness,208,0.079693
test,2610,emotion,disgust,68,0.026054
test,2610,emotion,fear,50,0.019157
test,2610,sentiment,neutral,1256,0.481226
test,2610,sentiment,negative,833,0.319157
test,2610,sentiment,positive,521,0.199617
overall,13706,emotion,neutral,6434,0.469429
overall,13706,emotion,joy,2308,0.168393
overall,13706,emotion,surprise,1636,0.119364
overall,13706,emotion,anger,1607,0.117248
overall,13706,emotion,sadness,1002,0.073107
overall,13706,emotion,disgust,361,0.026339
overall,13706,emotion,fear,358,0.026120
overall,13706,sentiment,neutral,6434,0.469429
overall,13706,sentiment,negative,4184,0.305268
overall,13706,sentiment,positive,3088,0.225303
