split,label,count
train,accordion,802
train,acousticbassguitar,379
train,acousticguitar,3696
train,bass,11556
train,beat,1292
train,bell,585
train,bongo,310
train,brass,555
train,cello,1647
train,clarinet,255
train,classicalguitar,1208
train,computer,2628
train,doublebass,761
train,drummachine,3430
train,drums,12463
train,electricguitar,8584
train,electricpiano,2206
train,flute,1357
train,guitar,10643
train,harmonica,465
train,harp,923
train,horn,566
train,keyboard,4357
train,oboe,566
train,orchestra,1007
train,organ,361
train,pad,311
train,percussion,2162
train,piano,15044
train,pipeorgan,586
train,rhodes,521
train,sampler,2444
train,saxophone,1310
train,strings,2180
train,synthesizer,15773
train,trombone,522
train,trumpet,1118
train,viola,674
train,violin,2866
train,voice,2884
dev,accordion,305
dev,acousticbassguitar,462
dev,acousticguitar,1540
dev,bass,5401
dev,beat,718
dev,bell,815
dev,bongo,806
dev,brass,1133
dev,cello,1642
dev,clarinet,928
dev,classicalguitar,1002
dev,computer,2336
dev,doublebass,376
dev,drummachine,2055
dev,drums,5545
dev,electricguitar,4095
dev,electricpiano,1717
dev,flute,1402
dev,guitar,4027
dev,harmonica,146
dev,harp,1016
dev,horn,913
dev,keyboard,1859
dev,oboe,350
dev,orchestra,887
dev,organ,125
dev,pad,277
dev,percussion,465
dev,piano,6890
dev,pipeorgan,243
dev,rhodes,1290
dev,sampler,737
dev,saxophone,1386
dev,strings,1407
dev,synthesizer,6216
dev,trombone,965
dev,trumpet,1726
dev,viola,416
dev,violin,2424
dev,voice,1866
test,accordion,475
test,acousticbassguitar,301
test,acousticguitar,2066
test,bass,4353
test,beat,323
test,bell,263
test,bongo,79
test,brass,264
test,cello,773
test,clarinet,163
test,classicalguitar,434
test,computer,2412
test,doublebass,423
test,drummachine,877
test,drums,4660
test,electricguitar,3105
test,electricpiano,776
test,flute,407
test,guitar,2945
test,harmonica,242
test,harp,229
test,horn,203
test,keyboard,1369
test,oboe,89
test,orchestra,381
test,organ,94
test,pad,82
test,percussion,764
test,piano,5950
test,pipeorgan,251
test,rhodes,196
test,sampler,575
test,saxophone,565
test,strings,1100
test,synthesizer,5186
test,trombone,327
test,trumpet,386
test,viola,345
test,violin,1416
test,voice,1213
