common_name,train_count,test_count,total_count
__samples__,135975,49338,185313
'Oma'o,5,0,5
Abbott's Babbler,5,0,5
Abbott's Robber Frog,2,0,2
Aberrant Bush-Warbler,3,0,3
Abert's Towhee,7,11,18
Abrupt Digger Bee,1,0,1
Abyssinian Nightjar,2,0,2
Abyssinian Roller,1,0,1
Acacia Pied Barbet,4,0,4
Acadian Flycatcher,160,100,260
Acorn Woodpecker,126,75,201
Adalbert's Eagle,2,0,2
Adelaide's Warbler,2,0,2
Adelie Penguin,1,0,1
Admirable Grasshopper,1,0,1
African Black Duck,1,0,1
African Blue Flycatcher,1,0,1
African Blue Tit,3,0,3
African Buffalo,1,0,1
African Bush Elephant,6,0,6
African Chaffinch,2,0,2
African Collared Dove,4,0,4
African Common Toad,22,8,30
African Crested-Flycatcher,1,0,1
African Cuckoo,1,0,1
African Cuckoo-Hawk,1,0,1
African Dusky Flycatcher,2,0,2
African Emerald Cuckoo,3,0,3
African Field Cricket,54,27,81
African Firefinch,2,0,2
African Forest Elephant,2,0,2
African Goshawk,6,0,6
African Green Toad,4,0,4
African Grey Hornbill,5,0,5
African Harrier-Hawk,4,0,4
African Jacana,1,0,1
African Long-tailed Shrike,2,0,2
African Mecopod,1,0,1
African Molecricket,9,0,9
African Paradise-Flycatcher,4,0,4
African Penduline-Tit,1,0,1
African Pied Wagtail,4,0,4
African Rail,1,0,1
African Red-eyed Bulbul,4,0,4
African Sacred Ibis,2,0,2
African Scops-Owl,4,0,4
African Snipe,1,0,1
African Split-skin Toad,6,0,6
African Stonechat,2,0,2
African Thrush,4,0,4
African Wattled Lapwing,1,0,1
African Wood-Owl,7,6,13
Agile Frog,2,0,2
Agile Gibbon,8,0,8
Agile Meadow Katydid,3,0,3
Akiapolaau,2,0,2
Alarm Clock Squawker,70,15,85
Albert's Lyrebird,22,6,28
Alder Flycatcher,164,85,249
Alexander's Tree Cricket,8,0,8
Alexandrine Parakeet,2,0,2
Algerian Nuthatch,11,0,11
Allard's Ground Cricket,21,9,30
Allard's tree cricket,1,0,1
Allen's Hummingbird,5,11,16
Allpahuayo Antbird,2,0,2
Alpine Chough,9,10,19
Alpine Cricket Frog,21,27,48
Alpine Dark Bush-cricket,5,9,14
Alpine Marmot,25,39,64
Alpine Saddle-backed Bush-cricket,1,0,1
Alpine Swift,24,35,59
Altamira Oriole,10,0,10
Amani River Frog,1,0,1
Amazon Bamboo Rat,1,0,1
Amazon Kingfisher,1,0,1
Amazonian Antpitta,4,0,4
Amazonian Antshrike,1,0,1
Amazonian Barred-Woodcreeper,3,0,3
Amazonian Grosbeak,3,0,3
Amazonian Motmot,1,0,1
Amazonian Pygmy-Owl,3,0,3
Amazonian Scrub-Flycatcher,1,0,1
Amazonian Streaked-Antwren,4,0,4
American Alligator,12,11,23
American Avocet,9,0,9
American Beaver,13,6,19
American Bird Grasshopper,1,0,1
American Bison,2,0,2
American Bittern,47,25,72
American Black Bear,4,0,4
American Black Duck,3,0,3
American Bullfrog,313,100,413
American Coot,26,15,41
American Crow,999,100,1099
American Dipper,22,9,31
American Golden-Plover,3,0,3
American Goldfinch,537,100,637
American Goshawk,14,10,24
American Kestrel,101,47,148
American Mink,1,0,1
American Oystercatcher,8,0,8
American Pika,23,27,50
American Pipit,23,15,38
American Purple Gallinule,9,0,9
American Pygmy Shrew,1,0,1
American Red Squirrel,166,100,266
American Redstart,316,100,416
American Robin,1000,100,1100
American Swallow-tailed Kite,3,0,3
American Three-toed Woodpecker,10,0,10
American Toad,408,100,508
American Tree Sparrow,39,28,67
American Wigeon,20,8,28
American Woodcock,287,100,387
Amethyst Sunbird,1,0,1
Ampay Tapaculo,1,0,1
Anchieta's Ridged Frog,4,0,4
Ancient Antwren,2,0,2
Andean Cock-of-the-rock,9,0,9
Andean Flicker,1,0,1
Andean Guan,1,0,1
Andean Gull,8,0,8
Andean Lapwing,6,0,6
Andean Marsupial Frog,7,0,7
Andean Motmot,2,0,2
Andean Parakeet,1,0,1
Andean Poison Frog,2,0,2
Andean Potoo,1,0,1
Andean Pygmy-Owl,2,0,2
Andean Siskin,3,0,3
Andean Solitaire,10,6,16
Andean Swift,1,0,1
Andean Teal,1,0,1
Andean Tinamou,1,0,1
Angolan Reed Frog,2,0,2
Anhinga,10,0,10
Anna's Hummingbird,147,100,247
Antillean Coqui,11,11,22
Antillean Nighthawk,15,6,21
Antioquia Wren,1,0,1
Aplomado Falcon,2,0,2
Apolinar's Wren,1,0,1
Apurímac Brush-Finch,1,0,1
Apurímac Spinetail,1,0,1
Aquatic Warbler,2,0,2
Araguaia Spinetail,1,0,1
Araucaria Tit-Spinetail,3,0,3
Archbold's Bowerbird,1,0,1
Arctic Loon,7,0,7
Arctic Tern,7,0,7
Arctic Warbler,10,6,16
Arcuate-spotted Pygmy Frog,5,17,22
Argentine Snouted Tree Frog,6,0,6
Argentine Toad,8,0,8
Aridland Cicada,1,0,1
Arizona Meadow Katydid,3,0,3
Armed Field Cricket,1,0,1
Arrow-marked Babbler,3,0,3
Arunachal Macaque,1,0,1
Ash Cicada,335,100,435
Ash-breasted Antbird,2,0,2
Ash-breasted Tit-Tyrant,1,0,1
Ash-colored Cuckoo,3,0,3
Ash-colored Tapaculo,3,0,3
Ash-throated Crake,11,0,11
Ash-throated Flycatcher,69,42,111
Ashy Drongo,2,0,2
Ashy Minivet,2,0,2
Ashy Prinia,12,0,12
Ashy Tailorbird,29,11,40
Ashy-headed Greenlet,3,0,3
Asian Barred Owlet,1,0,1
Asian Bell Cricket,8,0,8
Asian Blue Quail,1,0,1
Asian Drongo-Cuckoo,4,0,4
Asian Elephant,1,0,1
Asian Emerald Dove,3,0,3
Asian Fairy-bluebird,10,11,21
Asian Glossy Starling,17,12,29
Asian Green Bee-eater,2,0,2
Asian House Martin,1,0,1
Asian House Shrew,2,0,2
Asian Jackal,16,16,32
Asian Koel,116,100,216
Asian Painted Frog,26,16,42
Asian Short-toed Lark,1,0,1
Asian Stubtail,7,0,7
Asp Viper,1,0,1
Atacama Toad,1,0,1
Atlantic Black-throated Trogon,6,0,6
Atlantic Coast Leopard Frog,20,13,33
Atlantic Forest Treefrog,2,0,2
Atlantic Saltmarsh Cicada,16,0,16
Audubon's Oriole,5,6,11
Austral Blackbird,15,7,22
Austral Parakeet,3,0,3
Austral Pygmy-Owl,16,11,27
Austral Thrush,14,17,31
Australasian Bittern,1,0,1
Australasian Bushlark,1,0,1
Australasian Figbird,56,20,76
Australasian Gannet,4,0,4
Australian Darter,2,0,2
Australian King-Parrot,26,45,71
Australian Logrunner,2,0,2
Australian Magpie,180,100,280
Australian Owlet-nightjar,1,0,1
Australian Pipit,2,0,2
Australian Raven,27,41,68
Australian Reed Warbler,65,100,165
Australian Ringneck,1,0,1
Australian Shelduck,3,0,3
Australian Songlark,1,0,1
Australian White Ibis,5,0,5
Australian Wood Duck,12,31,43
Australian Wood Frog,2,0,2
Autumn Cicada,4,0,4
Axis Deer,1,0,1
Azara's Fox,3,0,3
Azara's Spinetail,23,6,29
Azara’s Night Monkey,1,0,1
Azores Bullfinch,3,0,3
Azores Chaffinch,4,0,4
Azores Noctule,1,0,1
Aztec Rail,2,0,2
Azuay Stubfoot Toad,1,0,1
Azure Jay,2,0,2
Azure Tit,1,0,1
Azure-breasted Pitta,2,0,2
Azure-crowned Hummingbird,1,0,1
Azure-hooded Jay,1,0,1
Azure-winged Magpie,5,14,19
Bachman's Sparrow,35,26,61
Bahama Mockingbird,3,0,3
Bahia Tapaculo,1,0,1
Bahia Wagtail-Tyrant,1,0,1
Baikal Bush-Warbler,2,0,2
Bailey's Brazillian Tree Frog,2,0,2
Baillon's Crake,6,0,6
Baird's Sandpiper,3,0,3
Baird's Sparrow,7,0,7
Baja California Treefrog,103,55,158
Bald Eagle,79,79,158
Balkan Frog,1,0,1
Ball’s Shieldback,1,0,1
Baltimore Oriole,267,100,367
Bamboo Antshrike,3,0,3
Banana Tree Dwelling Frog,3,0,3
Bananal Antbird,1,0,1
Bananaquit,36,30,66
Band-backed Wren,8,0,8
Band-bellied Crake,1,0,1
Band-bellied Owl,6,0,6
Band-tailed Antbird,1,0,1
Band-tailed Antwren,1,0,1
Band-tailed Earthcreeper,1,0,1
Band-tailed Oropendola,1,0,1
Band-tailed Pigeon,17,6,23
Band-tailed Seedeater,1,0,1
Band-tailed Sierra-Finch,2,0,2
Band-winged Nightjar,22,0,22
Banded Antbird,2,0,2
Banded Banana Frog,1,0,1
Banded Bay Cuckoo,4,0,4
Banded Broadbill,1,0,1
Banded Ground Gecko,1,0,1
Banded Hickory Borer,1,0,1
Banded Mongoose,2,0,2
Banded Prinia,2,0,2
Banded Rain Frog,2,0,2
Banded Stream Frog,18,5,23
Banded Surili,1,0,1
Banded Wood Frog,13,0,13
Banded Wren,10,0,10
Banded-limb Glassfrog,1,0,1
Bank Swallow,17,12,29
Bar-crested Antshrike,6,0,6
Bar-shouldered Dove,15,11,26
Bar-tailed Godwit,3,0,3
Bar-throated Apalis,17,20,37
Barbary Ground Squirrel,1,0,1
Barbary Partridge,1,0,1
Bare-crowned Antbird,2,0,2
Bare-eyed Thrush,5,0,5
Bare-faced Curassow,1,0,1
Bare-necked Fruitcrow,1,0,1
Bare-throated Bellbird,8,0,8
Bare-throated Tiger Heron,1,0,1
Barking Frog,13,0,13
Barking Owl,4,0,4
Barking Tree Frog,22,13,35
Barn Owl,132,85,217
Barn Swallow,312,100,412
Barnacle Goose,4,0,4
Barratt's Warbler,2,0,2
Barred Antshrike,32,14,46
Barred Antthrush,2,0,2
Barred Becard,1,0,1
Barred Cuckoo-Dove,1,0,1
Barred Cuckoo-shrike,1,0,1
Barred Eagle-Owl,2,0,2
Barred Forest Falcon,6,0,6
Barred Fruiteater,1,0,1
Barred Owl,898,100,998
Barred Warbler,12,13,25
Bartlett's Tinamou,1,0,1
Basin White-lipped Frog,2,0,2
Bassian Buzzer,3,0,3
Bassian Thrush,3,0,3
Bassler's Humming Frog,1,0,1
Bat Falcon,6,0,6
Baudin's Black Cockatoo,4,0,4
Bay Antpitta,3,0,3
Bay Coucal,1,0,1
Bay Woodpecker,1,0,1
Bay Wren,4,0,4
Bay-breasted Warbler,23,23,46
Bay-capped Wren-Spinetail,7,0,7
Bay-chested Warbling-Finch,1,0,1
Bay-vented Cotinga,1,0,1
Baya Weaver,4,0,4
Beach Squeaker,29,10,39
Bearded Bellbird,1,0,1
Bearded Bulbul,2,0,2
Bearded Reedling,6,11,17
Bearded Screech-Owl,1,0,1
Bearded Wood Partridge,3,0,3
Beautiful Jay,2,0,2
Beautiful Woodpecker,1,0,1
Beebe's Toad,1,0,1
Beira Toad,1,0,1
Belding's Ground Squirrel,1,0,1
Bell Miner,57,72,129
Bell's Sparrow,5,0,5
Bell's Vireo,111,100,211
Bella Vista Toad,7,0,7
Belted Flycatcher,2,0,2
Belted Kingfisher,173,100,273
Bendire's Thrasher,6,0,6
Bennett's Woodpecker,1,0,1
Bent-winged Grass-buzzer,1,0,1
Bertoni's Antbird,1,0,1
Beryl-spangled Tanager,1,0,1
Berylline Hummingbird,9,0,9
Bewick's Wren,697,100,797
Bicknell's Thrush,21,0,21
Bicolored Antbird,2,0,2
Bicolored Antpitta,1,0,1
Bicolored Hawk,1,0,1
Bicolored Wren,6,0,6
Bicolour Meadow Bush-cricket,5,12,17
Big Brown Bat,7,0,7
Birch Catkin Bug,1,0,1
Bird-voiced Treefrog,22,16,38
Bischoff's Tree Frog,4,0,4
Black Antbird,2,0,2
Black Antshrike,1,0,1
Black Bulbul,48,29,77
Black Bullet,1,0,1
